index,occurrenceid,taxonid,originalname,correctedname,genus,species,uncertainty
1,1,6047,Erethizon dorsata,Erethizon dorsata,Erethizon,dorsata,species
2,2,6159,Lepus sp.,Lepus sp.,Lepus,sp.,genus
3,3,6186,Marmota sp.,Marmota sp.,Marmota,sp.,genus
4,4,6566,Spermophilus parryii,Spermophilus parryii,Spermophilus,parryii,species
5,5,6711,Arvicolinae,Arvicolinae,Arvicolinae,NA,family
6,6,19661,Lepus othus,Lepus othus,Lepus,othus,species
7,7,28186,Marmota broweri,Marmota broweri,Marmota,broweri,species
8,8,28209,Lemmini,Lemmini,Lemmini,NA,tribe
9,9,6598,Sylvilagus nuttallii,Sylvilagus nuttallii,Sylvilagus,nuttallii,species
10,10,5962,Cynomys ludovicianus,Cynomys ludovicianus,Cynomys,ludovicianus,species
11,11,6081,Geomys bursarius,Geomys bursarius,Geomys,bursarius,species
12,12,6184,Marmota monax,Marmota monax,Marmota,monax,species
13,13,6218,Microtus ochrogaster,Microtus ochrogaster,Microtus,ochrogaster,species
14,14,6226,Microtus sp.,Microtus sp.,Microtus,sp.,genus
15,15,6344,Oryzomys palustris,Oryzomys palustris,Oryzomys,palustris,species
16,16,6345,Oryzomys sp.,Oryzomys sp.,Oryzomys,sp.,genus
17,17,6466,Rattus norvegicus,Rattus norvegicus,Rattus,norvegicus,species
18,18,7267,cf. Neotoma floridana,Neotoma floridana,Neotoma,floridana,cf_species
19,19,7285,cf. Onychomys leucogaster,Onychomys leucogaster,Onychomys,leucogaster,cf_species
20,20,7302,cf. Chaetodipus hispidus,Chaetodipus hispidus,Chaetodipus,hispidus,cf_species
21,21,7344,cf. Sigmodon hispidus,Sigmodon hispidus,Sigmodon,hispidus,cf_species
22,22,5875,Blarina brevicauda,Blarina brevicauda,Blarina,brevicauda,species
23,23,5928,Castor canadensis,Castor canadensis,Castor,canadensis,species
24,24,5947,Condylura cristata,Condylura cristata,Condylura,cristata,species
25,25,5953,Cricetidae,Cricetidae,Cricetidae,NA,family
26,26,5954,Cryptotis parva,Cryptotis parva,Cryptotis,parva,species
27,27,5961,Cynomys leucurus,Cynomys leucurus,Cynomys,leucurus,species
28,28,5975,Dicrostonyx hudsonius,Dicrostonyx hudsonius,Dicrostonyx,hudsonius,species
29,29,5977,Dicrostonyx torquatus,Dicrostonyx torquatus,Dicrostonyx,torquatus,species
30,30,5997,Dipodomys microps,Dipodomys microps,Dipodomys,microps,species
31,31,6002,Dipodomys sp.,Dipodomys sp.,Dipodomys,sp.,genus
32,32,6091,Glaucomys volans,Glaucomys volans,Glaucomys,volans,species
33,33,6151,Leporidae,Leporidae,Leporidae,NA,family
34,34,6155,Lepus americanus,Lepus americanus,Lepus,americanus,species
35,35,6156,Lepus californicus,Lepus californicus,Lepus,californicus,species
36,36,6161,Lepus townsendii,Lepus townsendii,Lepus,townsendii,species
37,37,6211,Microtus longicaudus,Microtus longicaudus,Microtus,longicaudus,species
38,38,6223,Microtus pennsylvanicus,Microtus pennsylvanicus,Microtus,pennsylvanicus,species
39,39,6224,Microtus pinetorum,Microtus pinetorum,Microtus,pinetorum,species
40,40,6245,Mus musculus,Mus musculus,Mus,musculus,species
41,41,6297,Neotoma floridana,Neotoma floridana,Neotoma,floridana,species
42,42,6300,Neotoma lepida,Neotoma lepida,Neotoma,lepida,species
43,43,6304,Neotoma sp.,Neotoma sp.,Neotoma,sp.,genus
44,44,6325,Onychomys leucogaster,Onychomys leucogaster,Onychomys,leucogaster,species
45,45,6333,Ondatra sp.,Ondatra sp.,Ondatra,sp.,genus
46,46,6334,Ondatra zibethicus,Ondatra zibethicus,Ondatra,zibethicus,species
47,47,6368,Parascalops breweri,Parascalops breweri,Parascalops,breweri,species
48,48,6383,Perognathus longimembris,Perognathus longimembris,Perognathus,longimembris,species
49,49,6403,Peromyscus leucopus,Peromyscus leucopus,Peromyscus,leucopus,species
50,50,6405,Peromyscus maniculatus,Peromyscus maniculatus,Peromyscus,maniculatus,species
51,51,6413,Peromyscus sp.,Peromyscus sp.,Peromyscus,sp.,genus
52,52,6418,Phenacomys intermedius,Phenacomys intermedius,Phenacomys,intermedius,species
53,53,6462,Rodentia,Rodentia,Rodentia,NA,order
54,54,6471,Reithrodontomys megalotis,Reithrodontomys megalotis,Reithrodontomys,megalotis,species
55,55,6475,Reithrodontomys sp.,Reithrodontomys sp.,Reithrodontomys,sp.,genus
56,56,6480,Scalopus aquaticus,Scalopus aquaticus,Scalopus,aquaticus,species
57,57,6488,Sciuridae,Sciuridae,Sciuridae,NA,family
58,58,6493,Sciurus carolinensis,Sciurus carolinensis,Sciurus,carolinensis,species
59,59,6496,Sciurus niger,Sciurus niger,Sciurus,niger,species
60,60,6497,Sciurus sp.,Sciurus sp.,Sciurus,sp.,genus
61,61,6501,Sigmodon hispidus,Sigmodon hispidus,Sigmodon,hispidus,species
62,62,6517,Sorex cinereus,Sorex cinereus,Sorex,cinereus,species
63,63,6521,Sorex fumeus,Sorex fumeus,Sorex,fumeus,species
64,64,6544,Sorex sp.,Sorex sp.,Sorex,sp.,genus
65,65,6560,Spermophilus franklinii,Spermophilus franklinii,Spermophilus,franklinii,species
66,66,6567,Spermophilus richardsonii,Spermophilus richardsonii,Spermophilus,richardsonii,species
67,67,6569,Spermophilus sp.,Spermophilus sp.,Spermophilus,sp.,genus
68,68,6573,Spermophilus tridecemlineatus,Spermophilus tridecemlineatus,Spermophilus,tridecemlineatus,species
69,69,6590,Sylvilagus aquaticus,Sylvilagus aquaticus,Sylvilagus,aquaticus,species
70,70,6594,Sylvilagus floridanus,Sylvilagus floridanus,Sylvilagus,floridanus,species
71,71,6600,Sylvilagus sp.,Sylvilagus sp.,Sylvilagus,sp.,genus
72,72,6606,Synaptomys cooperi,Synaptomys cooperi,Synaptomys,cooperi,species
73,73,6620,Tamias minimus,Tamias minimus,Tamias,minimus,species
74,74,6629,Tamias striatus,Tamias striatus,Tamias,striatus,species
75,75,6633,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus,Tamiasciurus,hudsonicus,species
76,76,6666,Thomomys talpoides,Thomomys talpoides,Thomomys,talpoides,species
77,77,6699,Zapus hudsonius,Zapus hudsonius,Zapus,hudsonius,species
78,78,6700,Zapus princeps,Zapus princeps,Zapus,princeps,species
79,79,7012,Chaetodipus hispidus,Chaetodipus hispidus,Chaetodipus,hispidus,species
80,80,7034,Myodes gapperi,Myodes gapperi,Myodes,gapperi,species
81,81,7298,cf. Perognathus fasciatus,Perognathus fasciatus,Perognathus,fasciatus,cf_species
82,82,7332,cf. Reithrodontomys megalotis,Reithrodontomys megalotis,Reithrodontomys,megalotis,cf_species
83,83,7378,cf. Spermophilus tridecemlineatus,Spermophilus tridecemlineatus,Spermophilus,tridecemlineatus,cf_species
84,84,13884,Rodentia sp.,Rodentia,Rodentia,NA,order
85,85,15335,cf. Perognathus sp.,Perognathus sp.,Perognathus,sp.,cf_genus
86,86,22676,Glaucomys cf. G. sabrinus,Glaucomys sabrinus,Glaucomys,sabrinus,cf_species
87,87,35567,Myodes cf. M. gapperi,Myodes gapperi,Myodes,gapperi,cf_species
88,88,35569,Microtus cf. M. chrotorrhinus,Microtus chrotorrhinus,Microtus,chrotorrhinus,cf_species
89,89,35570,Microtus cf. M. pinetorum,Microtus pinetorum,Microtus,pinetorum,cf_species
90,90,5837,Ammospermophilus leucurus,Ammospermophilus leucurus,Ammospermophilus,leucurus,species
91,91,5839,Ammospermophilus sp.,Ammospermophilus sp.,Ammospermophilus,sp.,genus
92,92,5846,Aplodontia rufa,Aplodontia rufa,Aplodontia,rufa,species
93,93,5876,Blarina carolinensis,Blarina carolinensis,Blarina,carolinensis,species
94,94,5877,Blarina hylophaga,Blarina hylophaga,Blarina,hylophaga,species
95,95,5879,Blarina sp.,Blarina sp.,Blarina,sp.,genus
96,96,5890,Brachylagus idahoensis,Brachylagus idahoensis,Brachylagus,idahoensis,species
97,97,5932,Castoroides ohioensis,Castoroides ohioensis,Castoroides,ohioensis,species
98,98,5960,Cynomys gunnisoni,Cynomys gunnisoni,Cynomys,gunnisoni,species
99,99,5963,Cynomys sp.,Cynomys sp.,Cynomys,sp.,genus
100,100,5964,Cynomys parvidens,Cynomys parvidens,Cynomys,parvidens,species
101,101,5990,Dipodomys deserti,Dipodomys deserti,Dipodomys,deserti,species
102,102,5996,Dipodomys merriami,Dipodomys merriami,Dipodomys,merriami,species
103,103,6000,Dipodomys ordii,Dipodomys ordii,Dipodomys,ordii,species
104,104,6003,Dipodomys deserti/D. spectabilis,Dipodomys deserti,Dipodomys,deserti,species_2
105,104,6003,Dipodomys deserti/D. spectabilis,Dipodomys spectabilis,Dipodomys,spectabilis,species_2
106,105,6078,Geomyidae,Geomyidae,Geomyidae,NA,family
107,106,6086,Geomys sp.,Geomys sp.,Geomys,sp.,genus
108,107,6089,Glaucomys sabrinus,Glaucomys sabrinus,Glaucomys,sabrinus,species
109,108,6090,Glaucomys sp.,Glaucomys sp.,Glaucomys,sp.,genus
110,109,6154,Lepus alleni,Lepus alleni,Lepus,alleni,species
111,110,6183,Marmota flaviventris,Marmota flaviventris,Marmota,flaviventris,species
112,111,6202,Microdipodops megacephalus,Microdipodops megacephalus,Microdipodops,megacephalus,species
113,112,6207,Microtus californicus,Microtus californicus,Microtus,californicus,species
114,113,6208,Microtus chrotorrhinus,Microtus chrotorrhinus,Microtus,chrotorrhinus,species
115,114,6212,Microtus longicaudus/M. montanus,Microtus longicaudus,Microtus,longicaudus,species_2
116,114,6212,Microtus longicaudus/M. montanus,Microtus montanus,Microtus,montanus,species_2
117,115,6217,Microtus montanus,Microtus montanus,Microtus,montanus,species
118,116,6219,Microtus ochrogaster/M. pinetorum,Microtus ochrogaster,Microtus,ochrogaster,species_2
119,116,6219,Microtus ochrogaster/M. pinetorum,Microtus pinetorum,Microtus,pinetorum,species_2
120,117,6225,Microtus richardsoni,Microtus richardsoni,Microtus,richardsoni,species
121,118,6227,Microtus townsendii,Microtus townsendii,Microtus,townsendii,species
122,119,6228,Microtus xanthognathus,Microtus xanthognathus,Microtus,xanthognathus,species
123,120,6282,Napaeozapus insignis,Napaeozapus insignis,Napaeozapus,insignis,species
124,121,6290,Neofiber alleni,Neofiber alleni,Neofiber,alleni,species
125,122,6294,Neotoma albigula,Neotoma albigula,Neotoma,albigula,species
126,123,6295,Neotoma cinerea,Neotoma cinerea,Neotoma,cinerea,species
127,124,6298,Neotoma fuscipes,Neotoma fuscipes,Neotoma,fuscipes,species
128,125,6301,Neotoma mexicana,Neotoma mexicana,Neotoma,mexicana,species
129,126,6302,Neotoma micropus,Neotoma micropus,Neotoma,micropus,species
130,127,6312,Notiosorex crawfordi,Notiosorex crawfordi,Notiosorex,crawfordi,species
131,128,6320,Ochotona princeps,Ochotona princeps,Ochotona,princeps,species
132,129,6326,Onychomys sp.,Onychomys sp.,Onychomys,sp.,genus
133,130,6339,Onychomys torridus,Onychomys torridus,Onychomys,torridus,species
134,131,6376,Perognathus fasciatus,Perognathus fasciatus,Perognathus,fasciatus,species
135,132,6377,Perognathus flavescens,Perognathus flavescens,Perognathus,flavescens,species
136,133,6386,Perognathus parvus,Perognathus parvus,Perognathus,parvus,species
137,134,6388,Perognathus sp.,Perognathus sp.,Perognathus,sp.,genus
138,135,6393,Peromyscus boylii,Peromyscus boylii,Peromyscus,boylii,species
139,136,6397,Peromyscus crinitus,Peromyscus crinitus,Peromyscus,crinitus,species
140,137,6401,Peromyscus gossypinus,Peromyscus gossypinus,Peromyscus,gossypinus,species
141,138,6420,Phenacomys sp.,Phenacomys sp.,Phenacomys,sp.,genus
142,139,6467,Rattus rattus,Rattus rattus,Rattus,rattus,species
143,140,6468,Rattus sp.,Rattus sp.,Rattus,sp.,genus
144,141,6473,Reithrodontomys montanus,Reithrodontomys montanus,Reithrodontomys,montanus,species
145,142,6482,Scapanus latimanus,Scapanus latimanus,Scapanus,latimanus,species
146,143,6484,Scapanus orarius,Scapanus orarius,Scapanus,orarius,species
147,144,6485,Scapanus sp.,Scapanus sp.,Scapanus,sp.,genus
148,145,6492,Sciurus arizonensis,Sciurus arizonensis,Sciurus,arizonensis,species
149,146,6494,Sciurus griseus,Sciurus griseus,Sciurus,griseus,species
150,147,6506,Sigmodon ochrognathus,Sigmodon ochrognathus,Sigmodon,ochrognathus,species
151,148,6507,Sigmodon sp.,Sigmodon sp.,Sigmodon,sp.,genus
152,149,6514,Sorex arcticus,Sorex arcticus,Sorex,arcticus,species
153,150,6519,Sorex dispar,Sorex dispar,Sorex,dispar,species
